Organiser,Organisation Addresses,Boroughs,Latitude,Longitude,Telephone Number,Type,Scheme Title,Website organiser,Scheme URL,Content,Business Issues,Categories,Funding Amounts,Funding Types,Permalink,Themes,Bio-technology,Business and Financial Services,Construction,Creative,Digital and IT,Health and Social Care,Hospitality,Life sciences,Medical,Retail and Wholesale,Science and Technology,Tourism and Leisure,Urban,Pre-Start ,Early Stage,Growth ,Mature,Micro,Small,Medium,Large
BP Ventures,address not found,No borough found on the website,No latitude found,No longitude found,Number not found,Investor/ Funding Org,Corporate Venture Capital,https://www.bp.com/en/global/ventures.html,https://www.bp.com/en/global/ventures.html,"BP Ventures invests in private, high growth, game-changing technology companies, accelerating innovation across the entire energy spectrum. ",,,,,,,x,,,,,,,,,,,,,,x,x,x,x,x,x,
BPF Business Professionals’ Programme,"7a Howick Place, London, United Kingdom, SW1P 1DZ",Westminster,51.496429,-0.137437,Number not found,Network/ Membership Org,BPF networking,https://www.britishpakistanfoundation.com/programmes/business-professionals-programme/,https://www.britishpakistanfoundation.com/," BPF Business Professionals’ Programme is the ideal space for professionals, entrepreneurs and business leaders to exchange ideas, provide support and find like-minded collaborators.
",,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Baker Street Quarter Partnership,"64 Baker St, Marylebone, London W1U 7DF, UK",Westminster,51.5192,-0.155809,+44 20 3056 5910,BID,Baker Street Quarter Partnership,http://www.bakerstreetq.co.uk,http://www.bakerstreetq.co.uk,"Baker Street Quarter Partnership was established in April 2013 through a ballot of local businesses to bring a newfound purpose and focus to the Baker Street and Marylebone area. We were founded by a core group of businesses in the area and represent over 220 to drive forward positive change to create a thriving and prosperous community for everyone.

Our objectives include:
<ul>
 	<li>Bringing vibrancy to the area</li>
 	<li>Creating a high quality public realm</li>
 	<li>Services for business, such as training and subsidised meeting space</li>
</ul>
",Business growth|Business planning,Advice and Guidance|Managing your business,,,https://www.growthhub.london/scheme/baker-street-quarter-partnership/,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Balderton,"The Stables, 28 Britannia St, London WC1X 9JF, UK",Camden,51.529874,-0.118818,Number not found,Investor/ Funding Org,Balderton,http://www.balderton.com/,http://www.balderton.com/,Balderton invests in European founders with global ambitions.,,,,,,,,,,,x,,,,,,x,,,x,x,x,,x,,,
Barclays,"3rd  Floor, Solar House, 1-9 Romford Road, London, England, E15 4RG",Newham,51.542422,0.005178,Number not found,Investor/ Funding Org,Barclays Business Borrowing,https://www.barclays.co.uk/business-banking/,https://www.barclays.co.uk/business-banking/borrow/lending-fund/,"Barclays supports UK SMEs with business loans, commercial mortgages and overdrafts, including unsecured loans of up to £100k, and unsecured overdrafts of up to £50k.",,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Barclays,"3rd  Floor, Solar House, 1-9 Romford Road, London, England, E15 4RG",Newham,51.542422,0.005178,Number not found,Investor/ Funding Org,Brexit funding and support from Barclays,https://www.barclays.co.uk/business-banking/,https://home.barclays/news/2019/04/sme-lending-fund/,"Barclays has launched a new Â£14 billion lending fund to support small and medium-sized firms to succeed and thrive through and after Brexit. The funding will be focused on helping SMEs improve their resilience and grow their business.

Barclays will also be running more than 100 SME Brexit clinics and seminars across the UK, and businesses will be able to access support from its network of relationship managers and industry experts.

The funding and support will help SMEs with managing cash flow and working capital, exporting, labour and supply chains, and broader issues related to Brexit preparedness.

For more information about the lending fund and how to apply, <a href=""https://home.barclays/news/2019/04/sme-lending-fund/"">please click here</a>.",,Financing your business|Managing your business|Brexit,,Loan,https://www.growthhub.london/scheme/brexit-funding-and-support-from-barclays/,,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,,x,x,x,
Barclays Eagle Labs,"81 Palace Gardens Terrace, Kensington, London W8 4AT, UK",Kensington and Chelsea,51.509117,-0.194937,Number not found,Accelerator/ Incubator/ Co Working Space,LawTech Eagle Lab,https://labs.uk.barclays,https://labs.uk.barclays/lawtech,"Barclays in partnership with the Law Society has launched the LawTech Eagle Lab at Notting Hill Gate to help connect emerging LawTech innovation with major law firms to transform the legal industry.

The LawTech Eagle LabÂ  is looking for businesses that have a product or solution that has the potential to disrupt or be used in the legal or regulatory industry. Businesses must also have the potential to grow rapidly, be post-seed funded and open to collaboration.

In return, businesses will be able to benefit from mentoring and coaching, LawTech events, industry insight and connectivity with innovation, investment and corporate networks. In addition, the LawTech Eagle Lab will provide access to private office and co-working space in a post-accelerator environment.

",Business growth|Business start up|Innovation and development,Advice and Guidance|Mentoring|Starting your business,,,https://www.growthhub.london/scheme/lawtech-eagle-lab/,,,x,,,x,,,,,,,,,x,x,x,,x,x,,
Barking & Dagenham Chamber of Commerce,"71  Queen Victoria Street, London, England, EC4V 4BE",City of London,51.511871,-0.094466,Number not found,Network/ Membership Org,Barking and Dagenham Chamber of Commerce,http://bdchamber.co.uk/,http://bdchamber.co.uk/,"Barking and Dagenham Chamber of Commerce is a membership and not-for-profit organisation that offers a range of business support and benefits to its members. The chamber runs up to thirty business networking and training events every year, and it provides opportunities for local business owners to promote and market their services and products.

",Business growth|Business start up|Sales and marketing,Finding and growing your team|Advice and Guidance|Starting your business|Accessing new business,,,https://www.growthhub.london/scheme/barking-and-dagenham-chamber-of-commerce/,Managing your business,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x
Barking Enterprise Centre,"50 Cambridge Rd, London IG11 8FG, UK",Barking and Dagenham,51.539614,0.078154,+44 20 8227 3030,Accelerator/ Incubator/ Co Working Space,Business Advice and Support in Barking,http://www.beccic.co.uk/,http://www.beccic.co.uk/business-advice-support/,"The Barking Enterprise Centre offers one-to-one business advice sessions and workshops. Expert business counsellors provide a range of advice to help local start ups and business owners to develop the business skills and knowledge they need to succeed. The enterprise centre also provides a range of flexible workspace.
",Business planning|Business start up|Personal development|Workspace and premises,Finding and growing your team|Advice and Guidance|Premises and open workspace|Starting your business,,,https://www.growthhub.london/scheme/business-advice-and-support-2/,Starting your business|Premises and open workspace|Managing your business,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x
Bathtub 2 Boardroom,"263-269 City Rd, London EC1V 1JX, UK",Islington,51.530054,-0.097758,+44 20 7796 0151,Accelerator/ Incubator/ Co Working Space,Bathtub Bursary,https://www.bathtub2boardroom.com,https://www.bathtub2boardroom.com/membership/bathtub-bursary/,"The Bathtub Bursary programme supports budding entrepreneurs from low opportunity backgrounds or in difficult circumstances to start and grow a sustainable business. The 18-month programme provides workspace, start up support, advice and connections to help individuals across London develop their enterprise skills and start a business.

The first 12 months of the programme are free with the potential for a further six months charged at half the standard membership cost.",Business start up|Workspace and premises,Advice and Guidance|Premises and open workspace|Starting your business,,,https://www.growthhub.london/scheme/bathtub-bursary/,Starting your business,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,,
Be Richmond,"Parkshot House, 5 Kew Rd, Richmond TW9 2PR, United Kingdom",Richmond upon Thames,51.46372,-0.30247,+44 20 8334 8268,BID,Be Richmond,https://berichmond.london/,https://berichmond.london/,"Be Richmond is a business-led partnership set up to improve and enhance Richmond Town Centre. To help work towards a more prosperous future and compete with neighbouring major centres, Be Richmond has identified key priorities for local business owners. As a result, benefits business can expect from the BID include:
<ul>
 	<li>Provide a strong unified voice for business -Â a seat around the table with strategic partners such as LB Richmond, Transport for London and other key public bodies</li>
 	<li>Further develop the area into a business hub with a range of services to support both large and small businesses.</li>
 	<li>Attracting further investment into the area in the form of new businesses setting up and driving increased footfall to the town centre</li>
 	<li>Improved public realm through sustainable investment for capital projects and services</li>
 	<li>Improved social wellbeing for current employees along with helping employers recruit and retain the skilled staff they need to operate at the highest level.</li>
</ul>
",Business growth|Business planning,Advice and Guidance|Managing your business,,,https://www.growthhub.london/scheme/be-richmond/,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Beacon Capital,"125 Finsbury Pavement, Finsbury, London EC2A 1EJ, UK",Islington,51.519812,-0.087836,Number not found,Investor/ Funding Org,Beacon Capital,http://www.beaconcapital.co.uk/,http://www.beaconcapital.co.uk/,Beacon Capital provides Post-Seed capital for enterprise tech ventures.,,,,,,,,,,,x,,,,,,x,,,,x,x,x,x,x,x,
Bethnal Green Ventures,"20-30 Whitechapel Rd, Shadwell, London E1 1EW, UK",Tower Hamlets,51.516738,-0.067671,+44 20 3670 0350,Investor/ Funding Org,Bethnal Green Ventures Accelerator Programme,https://bethnalgreenventures.com,https://bethnalgreenventures.com/apply/,"Bethnal Green Ventures is an accelerator programme for early-stage tech start ups that are tackling problems in the areas of health, education, sustainability, democracy and society.

It supports teams with new ideas to help build solutions to social and environmental issues through an intensive programme, which includes peer-to-peer support, one-to-one advice, mentoring, workshops and events.
",Business growth|Business start up,Advice and Guidance|Starting your business,,,https://www.growthhub.london/scheme/bethnal-green-ventures-accelerator-programme/,Starting your business,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,,
Better Bankside,"18 Great Guildford St, London SE1 0FD, UK",Southwark,51.505938,-0.097913,+44 20 7928 3998,BID,Better Bankside,http://www.betterbankside.co.uk/about-us,http://www.betterbankside.co.uk/about-us,"Better Bankside is a Business Improvement District (BID) dedicated to making Bankside a thriving place to work, live and visit. Its services for business include:

    Area promotion
    A business toolkit, directory and forum
    Business discounts
    Promoting venue hire opportunities
    Events and training",Business growth|Business planning,Advice and Guidance|Managing your business,,,https://www.growthhub.london/scheme/better-bankside/,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Better Business Finance,"930 High Road, London, N12 9RT",Barnet,51.621296,-0.176274,Number not found,Investor/ Funding Org,Better Business Finance - Finding Finance Tool,http://www.betterbusinessfinance.co.uk/finance,http://www.betterbusinessfinance.co.uk/finance,"Better Business Finance - Find Finance enables firms to search a database of finance providers by entering criteria relating to their business stage, type, location and the amount of finance required. There is also a list of approved independent brokers available.
",Raising finance,Financing your business,"Â£0 - Â£1,000|Â£1,000 - Â£25,000|Â£100,000 - Â£250,000|Â£25,000 - Â£100,000|Â£250,000 - Â£500,000|Â£500,000+",Crowdfunding|Equity|Grant|Loan,https://www.growthhub.london/scheme/better-business-finance-finding-finance-tool/,Financing your business,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Bexleyheath Business Improvement District,"Townley Rd, Bexleyheath DA6 7HJ, UK",Bexley,51.455995,0.143749,+44 20 8304 0775,BID,Bexleyheath Business Improvement District,http://www.bexleyheathbid.co.uk,http://www.bexleyheathbid.co.uk,"Bexleyheath Business Improvement District is committed to promoting the town centre and supporting the local economy to grow and thrive. It provides a number of services for businesses, such as:
<ul>
 	<li>Marketing and promotion</li>
 	<li>Training courses</li>
 	<li>Cost saving services</li>
 	<li>Consumer and corporate events</li>
</ul>

",Business growth|Business planning,Advice and Guidance|Managing your business,,,https://www.growthhub.london/scheme/bexleyheath-business-improvement-district/,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
